# 走直线.
rq: 49.75272528854252 Hz
-0.20, 0.76, 0.69,-0.04,0.30,time:1561.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1541.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1521.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1501.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1481.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1461.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1441.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1421.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1401.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1381.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1361.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1341.60ms
-0.20, 0.77, 0.69,-0.04,0.30,time:1321.60ms
-0.20, 0.76, 0.77,-0.02,0.30,time:1301.60ms
-0.20, 0.76, 0.77,-0.02,0.30,time:1281.60ms
-0.20, 0.75, 0.77,-0.02,0.30,time:1261.60ms
-0.20, 0.75, 0.77,-0.02,0.30,time:1241.60ms
-0.20, 0.74, 0.67,-0.08,0.30,time:1221.60ms
-0.20, 0.74, 0.67,-0.08,0.30,time:1201.60ms
-0.20, 0.74, 0.67,-0.08,0.30,time:1181.60ms
-0.20, 0.72, 0.65,-0.09,0.30,time:1161.60ms
-0.20, 0.72, 0.65,-0.09,0.30,time:1141.60ms
-0.19, 0.69, 0.71,-0.04,0.30,time:1121.60ms
-0.19, 0.69, 0.71,-0.04,0.30,time:1101.60ms
-0.19, 0.66, 0.67,-0.04,0.30,time:1081.60ms
-0.19, 0.66, 0.67,-0.04,0.30,time:1061.60ms
-0.19, 0.66, 0.67,-0.04,0.30,time:1041.60ms
-0.18, 0.62, 0.60,-0.07,0.30,time:1021.60ms
-0.18, 0.62, 0.60,-0.07,0.30,time:1001.60ms
-0.17, 0.59, 0.59,-0.04,0.30,time:981.60ms
-0.17, 0.59, 0.59,-0.04,0.30,time:961.60ms
-0.15, 0.54, 0.56,-0.02,0.30,time:941.60ms
======action========:  tensor([[-1.1764, -0.3772,  0.0802, -0.1414, -1.5876, -5.8624,  0.1939, -0.6695,
         -1.4759,  1.5849,  2.1956,  3.4939]], grad_fn=<AddmmBackward0>)
-0.15, 0.54, 0.56,-0.02,0.30,time:921.60ms
-0.15, 0.54, 0.56,-0.02,0.30,time:901.60ms
-0.14, 0.50, 0.51,0.01,0.30,time:881.60ms
-0.14, 0.50, 0.51,0.01,0.30,time:861.60ms
-0.14, 0.50, 0.51,0.01,0.30,time:841.60ms
-0.13, 0.44, 0.45,0.01,0.30,time:821.60ms
-0.13, 0.44, 0.45,0.01,0.30,time:801.60ms
-0.11, 0.38, 0.39,0.01,0.30,time:781.60ms
-0.11, 0.38, 0.39,0.01,0.30,time:761.60ms
-0.11, 0.38, 0.39,0.01,0.30,time:741.60ms
-0.10, 0.32, 0.33,0.02,0.30,time:721.60ms
-0.10, 0.32, 0.33,0.02,0.30,time:701.60ms
-0.09, 0.26, 0.27,0.02,0.30,time:681.60ms
-0.09, 0.26, 0.27,0.02,0.30,time:661.60ms
-0.09, 0.26, 0.27,0.02,0.30,time:641.60ms
-0.08, 0.16, 0.17,0.03,0.30,time:621.60ms
-0.08, 0.16, 0.17,0.03,0.30,time:601.60ms
-0.07, 0.10, 0.12,0.04,0.30,time:581.60ms
-0.07, 0.10, 0.12,0.04,0.30,time:561.60ms
-0.07, 0.10, 0.12,0.04,0.30,time:541.60ms
-0.06, 0.05, 0.06,0.05,0.30,time:521.60ms
-0.06, 0.05, 0.06,0.05,0.30,time:501.60ms
-0.06, 0.05, 0.06,0.05,0.30,time:481.60ms
-0.04, -0.03, -0.02,0.05,-0.30,time:461.60ms
-0.04, -0.03, -0.02,0.05,-0.30,time:441.60ms
-0.02, -0.07, -0.07,0.04,-0.30,time:421.60ms
-0.02, -0.07, -0.07,0.04,-0.30,time:401.60ms
-0.01, -0.13, -0.12,0.05,-0.30,time:381.60ms
-0.01, -0.13, -0.12,0.05,-0.30,time:361.60ms
-0.01, -0.13, -0.12,0.05,-0.30,time:341.60ms
0.01, -0.19, -0.18,0.06,-0.30,time:321.60ms
0.01, -0.19, -0.18,0.06,-0.30,time:301.60ms
0.02, -0.26, -0.24,0.08,-0.30,time:281.60ms
0.02, -0.26, -0.24,0.08,-0.30,time:261.60ms
0.02, -0.26, -0.24,0.08,-0.30,time:241.60ms
0.04, -0.30, -0.29,0.08,-0.30,time:221.60ms
0.04, -0.30, -0.29,0.08,-0.30,time:201.60ms
0.05, -0.37, -0.35,0.10,-0.30,time:181.60ms
frq: 49.77870613228261 Hz
0.05, -0.37, -0.35,0.10,-0.30,time:161.60ms
0.05, -0.37, -0.35,0.10,-0.30,time:141.60ms
0.08, -0.41, -0.40,0.10,-0.30,time:121.60ms
0.08, -0.41, -0.40,0.10,-0.30,time:101.60ms
0.08, -0.45, -0.44,0.11,-0.30,time:81.60ms
0.08, -0.45, -0.44,0.11,-0.30,time:61.60ms
0.08, -0.45, -0.44,0.11,-0.30,time:41.60ms
0.10, -0.50, -0.48,0.11,-0.30,time:21.60ms
0.10, -0.50, -0.48,0.11,-0.30,time:1.60ms
0.11, -0.53, -0.52,0.11,-0.30,time:0.00ms
